provider	platform	handle	call_class	window_start	newest_ts	newest_ids	before_ts	before_id	status	detail	updated_at
exa	x	apples_jimmy	-	2025-07-14T22:07:05Z					retryable_error	EXA_API_KEY is unavailable	2026-07-20T04:07:04Z
exa	x	btibor91	-	2025-07-14T22:07:05Z					retryable_error	EXA_API_KEY is unavailable	2026-07-20T04:07:04Z
exa	x	flowersslop	-	2025-07-14T22:07:05Z					retryable_error	EXA_API_KEY is unavailable	2026-07-20T04:07:04Z
exa	x	testingcatalog	-	2025-07-14T22:07:05Z					retryable_error	EXA_API_KEY is unavailable	2026-07-18T22:07:05Z
